 1 ,        1 ,   0.00 ,   0.55
 1 ,       10 ,   0.00 ,   5.50
 1 ,      100 ,  51.00 ,  18.84
 1 ,     1000 ,  56.20 ,  15.89
 1 ,    10000 ,  56.62 ,  15.91
 1 ,   100000 ,  57.13 ,  36.49
 1 ,   500000 ,  57.06 ,  38.20
 1 ,  1000000 ,  57.03 ,  38.02
 2 ,        1 , 100.00 ,   0.26
 2 ,       10 ,  40.00 ,   3.29
 2 ,      100 ,  51.00 ,  18.99
 2 ,     1000 ,  54.10 ,  32.52
 2 ,    10000 ,  55.86 ,  31.69
 2 ,   100000 ,  57.03 ,  40.76
 2 ,   500000 ,  57.07 ,  76.19
 2 ,  1000000 ,  57.03 ,  76.25
 4 ,        1 , 100.00 ,   0.35
 4 ,       10 ,  60.00 ,   2.46
 4 ,      100 ,  64.00 ,  20.24
 4 ,     1000 ,  59.30 ,  69.51
 4 ,    10000 ,  56.75 ,  64.14
 4 ,   100000 ,  56.99 ,  77.14
 4 ,   500000 ,  56.95 ,  96.65
 4 ,  1000000 ,  57.01 , 131.22
 6 ,        1 , 100.00 ,   0.24
 6 ,       10 ,  40.00 ,   3.53
 6 ,      100 ,  62.00 ,  20.62
 6 ,     1000 ,  57.90 ,  84.22
 6 ,    10000 ,  56.32 ,  90.31
 6 ,   100000 ,  57.12 ,  94.04
 6 ,   500000 ,  57.07 , 141.96
 6 ,  1000000 ,  57.00 , 156.90
 8 ,        1 , 100.00 ,   0.21
 8 ,       10 ,  20.00 ,   2.53
 8 ,      100 ,  40.00 ,  19.75
 8 ,     1000 ,  52.70 , 104.23
 8 ,    10000 ,  56.32 , 123.40
 8 ,   100000 ,  57.00 , 124.76
 8 ,   500000 ,  57.01 , 171.04
 8 ,  1000000 ,  57.01 , 172.49
