        1000	,     123.82,     650.62,   5.25,     143.10,    699.79,   4.89 
        5000	,     123.88,     723.80,   5.84,     143.83,    725.48,   5.04 
       10000	,     143.87,     672.04,   4.67,     144.01,    730.25,   5.07 
       50000	,     181.25,    1003.51,   5.54,     221.64,   1182.76,   5.34 
      100000	,     205.56,    1169.40,   5.69,     354.62,   1791.73,   5.05 
     1000000	,     328.11,    1733.81,   5.28,     354.19,   1800.42,   5.08 
     2500000	,     323.64,    1085.88,   3.36,     353.73,   1762.08,   4.98 
     5000000	,     319.02,     999.65,   3.13,     351.55,   1696.41,   4.83 
     8000000	,     314.03,     818.97,   2.61,     348.58,   1649.21,   4.73 
