      1024 ,        8 ,    18.1715 ,  84.38
      1024 ,       16 ,    20.0000 ,  84.67
      1024 ,       32 ,    19.6078 ,  83.98
      1024 ,       64 ,    20.0000 ,  83.89
      1024 ,      128 ,    19.2308 ,  83.50
      1024 ,      256 ,    20.0000 ,  82.03
      4096 ,        8 ,    78.4314 ,  84.01
      4096 ,       16 ,    68.9655 ,  83.59
      4096 ,       32 ,    78.4314 ,  84.72
      4096 ,       64 ,    70.1754 ,  83.69
      4096 ,      128 ,    72.7273 ,  84.59
      4096 ,      256 ,    80.0000 ,  83.64
     16384 ,        8 ,   250.0000 ,  83.79
     16384 ,       16 ,   258.0645 ,  84.03
     16384 ,       32 ,   320.0000 ,  83.72
     16384 ,       64 ,   313.7255 ,  84.22
     16384 ,      128 ,   307.6923 ,  83.61
     16384 ,      256 ,   320.0000 ,  83.47
     65536 ,        8 ,   981.3129 ,  83.92
     65536 ,       16 ,  1074.5016 ,  83.94
     65536 ,       32 ,  1153.1531 ,  83.95
     65536 ,       64 ,  1251.0690 ,  83.88
     65536 ,      128 ,  1073.3753 ,  83.67
     65536 ,      256 ,  1213.2701 ,  83.85
    262144 ,        8 ,  2420.8038 ,  83.74
    262144 ,       16 ,  2984.3352 ,  83.92
    262144 ,       32 ,  3831.6184 ,  83.76
    262144 ,       64 ,  3761.2488 ,  83.75
    262144 ,      128 ,  4114.5153 ,  83.92
    262144 ,      256 ,  4447.3397 ,  83.88
   1048576 ,        8 ,  3835.6551 ,  83.79
   1048576 ,       16 ,  6246.2830 ,  83.83
   1048576 ,       32 ,  9338.2732 ,  83.81
   1048576 ,       64 , 11770.1149 ,  83.78
   1048576 ,      128 , 12956.9003 ,  83.81
   1048576 ,      256 , 12681.1151 ,  83.88
   2097152 ,        8 ,  4271.3941 ,  83.80
   2097152 ,       16 ,  7565.0471 ,  83.82
   2097152 ,       32 , 12369.9513 ,  83.83
   2097152 ,       64 , 17979.6980 ,  83.78
   2097152 ,      128 , 19441.1151 ,  83.81
   2097152 ,      256 , 19481.5695 ,  83.84
