      1024 ,        8 ,     7.2218 ,  83.11
      1024 ,       32 ,    12.3030 ,  84.38
      1024 ,       64 ,    13.1094 ,  84.18
      1024 ,      128 ,    12.1998 ,  84.47
      1024 ,      256 ,    10.3627 ,  83.30
      4096 ,        8 ,    47.8863 ,  83.98
      4096 ,       32 ,    42.0638 ,  84.23
      4096 ,       64 ,    33.1692 ,  84.30
      4096 ,      128 ,    52.5883 ,  83.54
      4096 ,      256 ,    43.8657 ,  84.20
     16384 ,        8 ,   168.5874 ,  83.58
     16384 ,       32 ,   163.5260 ,  83.56
     16384 ,       64 ,   199.6880 ,  83.56
     16384 ,      128 ,   186.1818 ,  83.97
     16384 ,      256 ,   192.9891 ,  83.75
     65536 ,        8 ,   431.3395 ,  83.87
     65536 ,       32 ,   637.6090 ,  83.51
     65536 ,       64 ,   545.5514 ,  83.65
     65536 ,      128 ,   584.1415 ,  83.68
     65536 ,      256 ,   659.5813 ,  83.83
    262144 ,        8 ,   689.4462 ,  83.81
    262144 ,       32 ,  1164.7946 ,  83.83
    262144 ,       64 ,  1696.7689 ,  83.91
    262144 ,      128 ,  1437.6974 ,  83.64
    262144 ,      256 ,  1692.9118 ,  83.76
   1048576 ,        8 ,   803.0782 ,  83.81
   1048576 ,       32 ,  2417.4106 ,  83.81
   1048576 ,       64 ,  2749.9160 ,  83.77
   1048576 ,      128 ,  2744.8484 ,  83.86
   1048576 ,      256 ,  2717.9828 ,  83.75
   2097152 ,        8 ,   832.2349 ,  83.79
   2097152 ,       32 ,  2779.7760 ,  83.85
   2097152 ,       64 ,  3035.4794 ,  83.84
   2097152 ,      128 ,  3024.6919 ,  83.84
   2097152 ,      256 ,  3077.0964 ,  83.78
